_source.title,_source.content,_source.published_date
The Star Online.,"KUALA LUMPUR: A German engineer was charged in the Sessions Court here with causing grievous hurt to a Yahoo Malaysia sales manager.

Felix Sebastian, 37, pleaded not guilty before judge Mahmud Abdullah.

He is alleged to have seriously injured a friend, Ashvin Danny Holtkamp, 24, on his left eye with a glass mug at Club 21, Bangsar Shopping Centre in Bangsar between 12am and 12.30am on Dec 4.

The charge under Section 326 of the Penal Code carries a maximum 20 years' jail and fine or whipping upon conviction.

Prosecuting officer Supt R.Munusamy requested of the court to set bail at RM50,000 in two local sureties and for the accused's passport to be impounded.

Sebastian's counsel S.Selva Balan mitigated for the sum to be reduced to RM5,000 and for the accused to keep his passport as he had already booked a flight last Oct 24 to return to Germany to celebrate Christmas with his two children from his ex-wife.

""""He will surrender his passport to the court on the second week of Feb 2012,"""" counsel requested.

The court decided in the prosecution's favour and imposed a RM50,000 bail in two local sureties and for the accused to surrender his passport to the court and report to the nearest police station every two weeks until disposal of the case.

Nevertheless, Mahmud allowed the defence's application for temporary release of the passport to enable the accused to return to his country on condition he surrendered the document back to the court on or before Feb 1 next year upon returning to Malaysia.

The case has been fixed for re-mention on Feb 2, 2012. BERNAMA",2011-12-08T16:00:00+00:00
The Star Online.,"KUALA LUMPUR: The Youth, Wanita and Puteri wings of Umno were in combative mood, with their leaders striking hard at their Opposition counterparts.

Wanita chief Datuk Seri Shahrizat Abdul Jalil expressed surprise that her PKR rival Zuraida Kamaruddin “had the audacity” to demand her resignation over the National Feedlot Corporation controversy.

She dared Zuraida to ask her party president Datuk Seri Wan Azizah Ismail to step down because her husband, Opposition Leader Datuk Seri Anwar Ibrahim, “had been found guilty and charged with various offences which I don't even have the heart to say out loud”.

This, said Shahrizat, would be in accordance with Zuraida's logic behind blaming a person for the actions of his or her spouse.

For his part, Umno Youth chief Khairy Jamaluddin mocked his PKR nemesis, Shamsul Iskandar Mohd Akin, for suggesting that Umno change the Federal Constitution so that only a Malay can be Prime Minister.

He said PKR suggested such a proposal only because it realised that its support among the Malays was waning.

Puteri Umno chief Datuk Rosnah Rashid Shirlin, meanwhile, slammed the Opposition for “twisting facts and figures” to arouse fear among the people over the country's economic situation.

For his part, Umno Youth chief Khairy Jamaluddin mocked his PKR nemesis, Shamsul Iskandar Mohd Akin, for suggesting that Umno change the Federal Constitution so that only a Malay can be Prime Minister.

He said PKR suggested such a proposal only because it realised that its support among the Malays was waning.

Puteri Umno chief Datuk Rosnah Rashid Shirlin, meanwhile, slammed the Opposition for “twisting facts and figures” to arouse fear among the people over the country's economic situation.",2011-11-30T16:00:00+00:00
The Star Online.,"PUTRAJAYA: The legalisation and amnesty process under the 6P programme for illegal foreign workers will be carried out simultaneously to enable those wishing to return to their countries to do so immediately.

The amnesty process involved two categories those who had participated in the registration process and wished to leave the country and those who had surrendered voluntarily.

Home Minister Datuk Seri Hishammuddin Hussein said under the process, the illegals could directly deal with the Immigration Department to obtain the Exit Inspection Memo without any action being taken against them.

“As of Monday, a total of 25,561 illegal immigrants had been granted amnesty and had left the country.

“Among the five countries that registered the most number of the illegals, who had been granted amnesty and had left, were Indonesia with 15,901 immigrants, followed by India (2,501), Nepal (1,048), Myanmar (1,040) and Vietnam (930),” he said in a statement yesterday.

The 6P programme comprises registration, legalisation, amnesty, supervision, enforcement and deportation.

Hishammuddin said they had been screened and were found free of any criminal record.

“They have returned home with all costs fully borne by themselves,” he said, adding that the Government had not allocated any money to finance costs including food and temporary lodging.

Hishammuddin added that under the programme, the Government saved about RM3.3bil in gross expenditure to register 1,303,126 illegal immigrants, which ended on Aug 31.

He said the Government had instead managed to increase collection from fees charged for the levy, pass and visa imposed on foreign workers who were legalised.

He said that as of Sunday, 27,514 illegal immigrants had been legalised involving 2,208 employers.",2011-11-01T16:00:00+00:00
The Star Online.,"SHAH ALAM: The defence in the High Court murder trial of cosmetics millionaire Datuk Sosilawati Lawiya and three others Thursday submitted an application to cite the prosecution for contempt of court.

Lawyer Manjeet Singh Dhillon made the application against deputy public prosecutors Idham Abd Ghani and Saiful Edris Zainuddin, following their case against key prosecution witness U. Suresh for perjury, at the Sessions Court here Wednesday.

Manjeet Singh, counsel for former lawyer N. Pathmanaban, the first accused in the murder case, said the charge against Suresh should not have been made since the trial was still on and the presiding judge, Datuk Akhtar Tahir, had yet to make his decision on whether to impeach the witness.

However, Saiful Edris said the prosecution had the right to do so as Suresh was their witness.

Akhtar set Monday to hear submissions from both parties.

On Wednesday, Suresh pleaded not guilty and claimed trial to a charge of giving false evidence during the proceedings of Public Prosecutor vs Pathmanabhan, T. Thilaiyalagan, R. Matan and R. Khatavarayan before Judge Datuk Akhtar Tahir, contradicting his statement to recording officer ASP Ong Seng Keong on Oct 26 2010 in Sungai Udang Prison, Malacca.

The offence was allegedly committed between 9.30am and 12 noon on July 25 and 27 in High Court 8 here.

Suresh is the 29th prosecution witness in the trial of Pathmanabhan, 42, Thilaiyagan, 20; Matan, 21, and Khatavarayan, 31, who are charged with murdering Sosilawati, 47; lawyer Ahmad Kamil Abdul Karim, 32; bank officer Noorhisham Mohamad, 38; and Sosilawati's driver, Kamaruddin Shamsuddin, 44, at Lot 2001, Jalan Tanjong Layang, Tanjung Sepat, Banting, between 8.30pm and 9.45pm on Aug 30, 2010. - Bernama",2011-08-10T16:00:00+00:00
The Star Online.,"SEREMBAN: The Government should institute disciplinary and legal action against MACC officers who had failed to observe procedures which led to the death of political aide Teoh Beng Hock.

MCA president Datuk Seri Dr Chua Soi Lek said it was obvious that some MACC personnel had adopted an indifferent attitude in interrogating Teoh.

“They were arrogant, abusive, lacked discipline and interpersonal skills,” he said after attending a dialogue session with members of non-governmental organisations here last night.

Dr Chua said the MACC should also review its interrogation procedures.

He also expressed his sympathy to Teoh's family, adding that the MCA respected the findings by the RCI.

“We understand what they have and are going through,” he said.

DAP adviser Lim Kit Siang called for the suspension of the officers for their aggressive questioning.

The MACC officers must be charged, he said, while questioning whether Teoh's death was caused by suicide or forced suicide.

Transparency International Malaysia president Datuk Paul Low said the findings of the RCI must be trusted because it was properly constituted and its members were people of integrity.

Related Stories:

Teoh driven to suicide; MACC trio singled out over intensive grilling'

The last straw for Teoh

Report: Officers lied in the spirit of brotherhood

Interrogators known for their brutal methods

Shortcomings found in payment procedures

Teoh's family rejects findings; mum adamant he was murdered

Nazri: Govt expresses regret and hopes for closure

I don't believe it was suicide, says Teoh's boss

MACC accepts RCI findings

Proposal to curb powers under MACC Act

RCI states ways to improve commission



*Full report of RCI findings",2011-07-21T16:00:00+00:00
The Star Online.,"SERI KEMBANGAN: Thirty-nine cases of illegal sales of subsidised domestic liquefied petroleum gas (LPG) have been detected nationwide.

Deputy Domestic Trade, Cooperatives and Consumerism Minister Datuk Tan Lian Hoe said the ministry's enforcement officers had seized 56,750kg of LPG worth RM332,634.85 from January.

She added that the syndicates would siphon the gas from 12kg or 14kg LPG cylinders meant for domestic consumption and transfer it to 50kg cylinders for resale.

“LPG is highly flammable and the transferring of gas is very dangerous and can spark an explosion.

“Stern action will be taken against unscrupulous operators. They can be charged under Control of Supplies Act 1961,” she said at Shell Malaysia's Home Safety Awareness Campaign 2011 at Aeon Taman Equine shopping centre here yesterday.

Tan said the price of a 14kg LPG cylinder was RM49.42, of which RM22.82 of the amount is subsidised by the government.

“This means the public only have to pay RM26.60 per cylinder,” she added.

In her speech, Tan urged the public to buy their LPG tanks from licensed distributors who adhered to regulations set by the Fire and Rescue Department.

She added that the ministry had issued 5,398 retail licences to distribute LPG nationwide.

Tan said the licences should be displayed by the sellers at their premises and the public could call the ministry to check on them.

The Home Safety Awareness Campaign includes a roadshow that will run for 12 weekends at 12 locations in Peninsular Malaysia.

Free brochures and videos on the “Safe Handling of Shell LPG” will be distributed during the roadshows and can be downloaded at www.shell.com.my.",2011-07-10T16:00:00+00:00
The Star Online.,"TOKYO: The chief of the 10-member Association of Southeast Asian Nations (Asean) called for a candidate for the post of managing director of the International Monetary Fund from outside Europe or North America.

Asean Secretary General Surin Pitsuwan, in a seminar here, told Kyodo News that a few candidates could also be found in Asia.

""""This region must be given opportunity to make a contribution in the governance of those global institutions important to all of us,"""" he said.

He added that there are individuals who were capable of assuming the top post at the Washington-based IMF in countries such as Indonesia, Singapore and Mexico, and it is necessary to field a candidate from Europe or North America, even if the chances appear slim that the post would be secured this time.

""""As a secretary general of Asean, I would say just go for it, and even if we do not win this time, we should not let it go without a challenge as this post is not monopoly of Europe,"""" he said.

On Wednesday, French Finance Minister Christine Lagarde announced her bid to become head of the IMF and succeed her compatriot Dominique Strauss-Kahn who resigned after being charged with sexual assault in New York earlier this month.

Lagarde is seen as the front-runner in the race to become managing director of the IMF as she is supported by major European countries such as Britain and Germany.

The fund, which began accepting candidacies for its top position on Monday, aims to complete the selection process by the end of June. - Bernama",2011-05-26T21:08:00+00:00
The Star Online.,"PUTRAJAYA: Some parents have welcomed the punishment for National Service (NS) dodgers describing it as probably the best way to discipline the young.

They also have no qualm about the requirement for the dodgers to attend NS training after completing their punishment.

Accountant Muhamad Abu Zarin said the punishment, in the form of carrying out community service, was to educate young Malaysians about being disciplined.

“We need disciplined young Malaysians if we are to become a developed nation and since NS has been made compulsory, those who try to escape should know the consequences.

“Since there is a law to punish the dodgers, enforce it for the good of the nation,” he said yesterday.

However, Muhamad, whose eldest child is aged 20 but has yet to be called for the training, wanted the NS Department to be serious about enforcing the law.

NS Department director-general Datuk Abdul Hadi Awang Kechil had said on Friday that dodgers who were eventually charged in court would have to do community service as punishment.

He said they would also be compelled to do national training once they completed the punishment.

The D-G explained that under the National Service Training Act 2003, the department could summon anyone below the age of 35 to attend training.

Another father, A. Rajendran, said the department needed to be more serious about punishing dodgers.

He said although the training scheme started in 2004 and 500 youths had not attended it, no action was taken against the dodgers.

“Seven years down the road and the 500 dodgers are still not being punished,” he said.",2011-05-21T16:00:00+00:00
The Star Online.,"MARANG: Eight secondary schoolboys trespassed into another school and beat up one of its students because the victim is a top student in his school.

The schoolboys, who were from a nearby school, were said to have been asked by the victim's schoolmate to beat him up.

The instigator was believed to have been envious of the academic achievements of SMK Agama Durian Guling student Wan Nur Azri Wan Mohammad.

The eight ended up in the magistrate's court yesterday where they were charged with trespassing into another school as well as beating up the Form Five student.

The boys, comprising four Form Five students, three Form Three students and a Form Four student, pleaded guilty to trespassing into Wan Nur Azri's school between 11am and 11.30am on April 7.

The offence under Section 447 of the Penal Code carries a RM3,000 fine or six months' jail.

They also admitted causing multiple injuries to Wan Nur Azri. They can be jailed up to a year or fined RM2,000 or both under Section 323.

According to the facts of the case, Wan Nur Azri was chatting with his friends in the classroom when the eight rushed in. The teacher was not in at that time.

He was dragged out and pushed behind a chemistry lab before being assaulted by the group.

His classmates rushed out to inform a teacher, who managed to stop the assault. The eight boys then fled.

Magistrate Nor Azizah Yusof set May 24 for the submission of a morality report and sentencing.

She fixed bail at RM1,500 for each accused.

Insp Mahathir Mohd Yusof prosecuted while the eight accused were not represented.",2011-04-24T16:00:00+00:00
The Star Online.,"KUALA LUMPUR: The Agosta submarine, which had been used to train Royal Malaysian Navy personnel in France, will arrive here in August.

Navy Chief Adm Tan Sri Abdul Aziz Jaafar said the submarine, which has been decommissioned, would become a museum piece.

“We are expecting its arrival in August. There will be a signing ceremony between the Defence Ministry secretary-general and the French side before it is handed over to us,” he told a press conference here yesterday.

On the country's first two submarines KD Tunku Abdul Rahman and KD Tun Razak Adm Abdul Aziz said they were in the open sea and operating smoothly, contrary to reports.

He also denied claims that kickbacks were involved over the two Scorpene submarines, adding that neither the European Union nor the RMN condoned such acts.

It was announced last month that the submarines would cost RM50mil a year to maintain.

On the pirate-infested Gulf of Aden, Adm Abdul Aziz said there could be two RMN auxiliary escort ships guarding Malaysian trading vessels by the end of this year.

The second ship, he said, would supplement Bunga Mas 5, which successfully foiled a hijacking attempt against Malaysian MT Bunga Laurel last January.

Commandos had captured seven Somali pirates who have since been charged here.

Adm Abdul Aziz said assigning Bunga Mas 6 as the second auxiliary ship resulted from continued strategic cooperation between the RMN and the Malaysian International Shipping Corporation (MISC).

He also said that NGV Tech Sdn Bhd would build two training ships for the RMN at its shipyard in Sijangkang, Selangor with a two-year completion target.",2011-04-21T16:00:00+00:00
The Star Online.,"PORT DICKSON: The government will from this year conduct the national health and morbidity study once in four years instead of once in 10 years as previously done, said Health Minister Datuk Seri Liow Tiong Lai.

He said the move was aimed at improving healthcare policies and the living standards of the people.

He added that 10,000 households involving some 40,000 respondents were selected for a three-month exercise this year and expressed hope that they would extend their fullest cooperation to the authorities.

“We have decided to shorten the study as we want to have a more accurate picture on the lifestyle, eating habits, health patterns and what Malaysians spend on healthcare.

“We need this information as we want to ensure every Malaysian has access to healthcare services. We want to transform and restructure our health services for the peoples’ benefit,” he said at the launch of the 4th National Health and Morbidity Study 2011-2014 at a resort here yesterday.

Liow said data from the study will, among others, be used to formulate the “1Care for 1Malaysia” policy as well as the National Strategic Plan for Non-Communicable Diseases.

The ministry has trained 400 staff to conduct the study which would be carried out from April 18.

The respondents were randomly selected by the Statistics Department.

He said the staff would collect data on smoking habits and alcohol consumption among Malaysians and if they suffered from diabetes, hypertension, cardiovascular diseases, high cholesterol levels and obesity.

The respondents will be referred to government clinics or hospitals if they needed treatment and will not be charged any fee.",2011-04-12T16:00:00+00:00
The Star Online.,"SEPANG: It is all systems go for tomorrow's 2011 Formula One Petronas Malaysia Grand Prix and while there seem to be fewer promotions this year, Sepang International Circuit (SIC) chairman Datuk Mokhzani Mahathir begs to differ.

While other circuits like Singapore focus more on concerts, Malaysia, he said, was doing things “slightly differently” by emphasising on the race itself.

Mokhzani said SIC was also giving more opportunities to the private sector and teams to organise their events this year such as street demonstrations by Team Lotus and Red Bull Racing.

“Funding has to come from the private sector,” he said, adding that the circuit was ready to host the race with, among others, a free pit walkabout for schoolchildren yesterday and a free concert by Korean artiste Rain tomorrow.

Instead of hosting the annual gala dinner, Prime Minister Datuk Seri Najib Tun Razak met Formula One team principals and drivers along with invited guests at Sri Perdana in Putrajaya on Thursday night.

“It is a networking opportunity for the corporate sector, Formula One and the Government,” Mokhzani said.

He pointed out that while Singapore had had artistes such as Beyonce and Mariah Carey perform in the past, they were “standalone” concerts which fans paid for separately compared to the free ones SIC hosted for grandstand ticket holders in Malaysia.

“We do have quality acts. Some may not find Rain exciting but he is putting on a complete show and not just standing there and singing,” he said, adding that ticket prices in the island republic were higher and the government charged a levy on hotels in the F1 circuit area.",2011-04-08T16:00:00+00:00
